State FIPS Code,Rank
53000000000,10
53001950100,4
53001950200,4
53001950300,3
53001950400,5
53001950500,5
53003960100,3
53003960200,7
53003960300,8
53003960400,8
53003960500,9
53003960600,8
53005010100,9
53005010201,9
53005010202,8
53005010300,9
53005010400,10
53005010500,9
53005010600,9
53005010701,1
53005010703,5
53005010705,6
53005010707,3
53005010708,5
53005010803,5
53005010805,5
53005010807,2
53005010809,4
53005010810,3
53005010811,3
53005010813,3
53005010814,1
53005010901,7
53005010902,6
53005011001,8
53005011002,8
53005011100,8
53005011200,8
53005011300,9
53005011401,8
53005011402,7
53005011501,9
53005011503,3
53005011504,3
53005011600,6
53005011700,5
53005011800,5
53005011900,3
53005012000,5
53007960100,2
53007960200,1
53007960300,4
53007960400,1
53007960500,3
53007960600,4
53007960700,5
53007960801,5
53007960802,6
53007961000,7
53007961100,6
53007961200,2
53007961301,4
53007961302,5
53009000200,3
53009000300,1
53009000400,1
53009000600,2
53009000700,3
53009000800,1
53009000900,2
53009001000,2
53009001100,1
53009001200,1
53009001300,1
53009001400,1
53009001500,3
53009001600,1
53009001700,1
53009001800,1
53009001900,1
53009002000,1
53009002100,1
53009002300,1
53009940000,3
53009990100,1
53011040101,1
53011040102,1
53011040201,3
53011040202,2
53011040203,1
53011040301,3
53011040302,4
53011040403,3
53011040407,1
53011040408,2
53011040409,2
53011040411,2
53011040412,2
53011040413,1
53011040414,1
53011040415,1
53011040416,1
53011040504,1
53011040505,1
53011040507,9
53011040508,9
53011040509,10
53011040510,8
53011040511,1
53011040603,2
53011040604,3
53011040605,7
53011040608,4
53011040609,7
53011040610,6
53011040703,5
53011040706,4
53011040707,4
53011040709,3
53011040710,3
53011040711,3
53011040712,3
53011040803,4
53011040805,3
53011040806,5
53011040808,5
53011040809,4
53011040810,5
53011040904,5
53011040905,4
53011040907,4
53011040908,5
53011040909,4
53011040910,2
53011041003,9
53011041005,10
53011041007,8
53011041008,8
53011041009,7
53011041010,6
53011041011,8
53011041104,7
53011041105,7
53011041107,6
53011041108,6
53011041110,8
53011041111,8
53011041112,8
53011041201,7
53011041203,7
53011041205,7
53011041206,7
53011041309,6
53011041310,6
53011041312,5
53011041313,6
53011041317,6
53011041318,5
53011041319,4
53011041320,5
53011041321,3
53011041322,5
53011041323,5
53011041325,7
53011041326,3
53011041327,3
53011041328,6
53011041329,5
53011041330,6
53011041331,6
53011041332,4
53011041333,4
53011041400,9
53011041500,10
53011041600,9
53011041700,9
53011041800,9
53011041900,10
53011042000,10
53011042100,10
53011042300,10
53011042400,9
53011042500,9
53011042600,9
53011042700,9
53011042800,9
53011042900,8
53011043000,8
53011043100,9
53013960200,6
53015000300,8
53015000400,7
53015000501,9
53015000502,9
53015000601,8
53015000602,9
53015000702,8
53015000703,6
53015000704,6
53015000800,5
53015000900,3
53015001000,7
53015001100,10
53015001200,8
53015001300,6
53015001501,1
53015001502,8
