GEOID,Rank
53033000100,5.5
53033000200,7.5
53033000300,6
53033000401,5.5
53033000402,6.5
53033000500,4
53033000600,7.5
53033000700,7.5
53033000800,5.5
53033000900,5.5
53033001000,7.5
53033001100,8
53033001200,7
53033001300,7
53033001400,7.5
53033001500,6.5
53033001600,7
53033001701,7.5
53033001702,7.5
53033001800,7.5
53033001900,7.5
53033002000,7
53033002100,7.5
53033002200,6
53033002400,6
53033002500,7.5
53033002600,8.5
53033002700,8.5
53033002800,8.5
53033002900,8.5
53033003000,7.5
53033003100,7.5
53033003200,7.5
53033003300,8
53033003400,8
53033003500,8.5
53033003600,8.5
53033003800,7
53033003900,6
53033004000,6
53033004100,7
53033004200,7
53033004301,8.5
53033004302,7.5
53033004400,9
53033004500,9
53033004600,9
53033004700,8
53033004800,9
53033004900,9
53033005000,9
53033005100,9
53033005200,9
53033005301,9
53033005302,9
53033005400,9
53033005600,9
53033005700,8
53033005801,8
53033005802,9
53033005900,8.5
53033006000,9.5
53033006100,9.5
53033006200,9.5
53033006300,7.5
53033006400,9.5
53033006500,9.5
53033006600,9.5
53033006700,9.5
53033006800,9.5
53033006900,9.5
53033007000,9.5
53033007100,10
53033007200,10
53033007300,10
53033007401,9.5
53033007402,10
53033007500,9.5
53033007600,9.5
53033007700,9
53033007800,7
53033007900,9
53033008001,10
53033008002,10
53033008100,10
53033008200,10
53033008300,10
53033008400,10
53033008500,10
53033008600,10
53033008700,10
53033008800,9
53033008900,9.5
53033009000,10
53033009100,10
53033009200,10
53033009300,10
53033009400,10
53033009500,9.5
53033009600,9.5
53033009701,8.5
53033009702,9.5
53033009800,9.5
53033009900,10
53033010001,10
53033010002,10
53033010100,7.5
53033010200,8
53033010300,8
53033010401,10
53033010402,10
53033010500,9.5
53033010600,9.5
53033010701,9.5
53033010702,9.5
53033010800,10
53033010900,10
53033011001,9
53033011002,10
53033011101,9
53033011102,8.5
53033011200,10
53033011300,10
53033011401,9.5
53033011402,9
53033011500,9.5
53033011600,8
53033011700,10
53033011800,9.5
53033011900,9.5
53033012000,7
53033012100,6.5
53033020100,4
53033020200,5.5
53033020300,5.5
53033020401,5.5
53033020402,7
53033020500,6.5
53033020600,6
53033020700,5.5
53033020800,5.5
53033020900,6
53033021000,6.5
53033021100,7.5
53033021300,7
53033021400,7.5
53033021500,5.5
53033021600,5.5
53033021700,7
53033021802,8
53033021803,6.5
53033021804,7.5
53033021903,6.5
53033021904,5.5
53033021905,7
53033021906,6.5
53033022001,7.5
53033022003,6
53033022005,6
53033022006,7.5
53033022101,6
53033022102,7.5
53033022201,5
53033022202,6
53033022203,6
53033022300,5.5
53033022400,8
53033022500,8
53033022603,7
53033022604,8
53033022605,7.5
53033022606,7.5
53033022701,7
53033022702,7.5
53033022703,7
53033022801,7
53033022802,7
53033022803,6.5
53033022901,6.5
53033022902,6
53033023000,5.5
53033023100,5
53033023201,6
53033023202,5
53033023300,6.5
53033023401,7
53033023403,5
53033023404,4
53033023500,7.5
53033023601,7.5
53033023603,6
53033023604,7
53033023700,7.5
53033023801,8.5
53033023803,6.5
53033023804,7
53033023900,8.5
53033024000,8.5
53033024100,7.5
53033024200,7
53033024300,8
53033024400,7
53033024500,7.5
53033024601,7.5
53033024602,7.5
53033024701,8
53033024702,7.5
53033024800,8
