State FIPS Code,Rank
53000000000,7
53001950100,2
53001950200,1
53001950300,2
53001950400,2
53001950500,2
53003960100,1
53003960200,3
53003960300,3
53003960400,2
53003960500,2
53003960600,2
53005010100,5
53005010201,4
53005010202,4
53005010300,6
53005010400,5
53005010500,5
53005010600,6
53005010701,2
53005010703,2
53005010705,4
53005010707,3
53005010708,3
53005010803,6
53005010805,6
53005010807,3
53005010809,6
53005010810,5
53005010811,3
53005010813,5
53005010814,2
53005010901,6
53005010902,5
53005011001,8
53005011002,6
53005011100,8
53005011200,8
53005011300,8
53005011401,4
53005011402,4
53005011501,7
53005011503,6
53005011504,4
53005011600,4
53005011700,4
53005011800,4
53005011900,3
53005012000,2
53007960100,1
53007960200,3
53007960300,1
53007960400,1
53007960500,4
53007960600,2
53007960700,2
53007960801,4
53007960802,5
53007961000,5
53007961100,5
53007961200,4
53007961301,2
53007961302,3
53009000200,1
53009000300,1
53009000400,1
53009000600,1
53009000700,3
53009000800,3
53009000900,3
53009001000,4
53009001100,3
53009001200,4
53009001300,1
53009001400,1
53009001500,3
53009001600,1
53009001700,1
53009001800,1
53009001900,1
53009002000,1
53009002100,1
53009002300,1
53009940000,1
53009990100,4
53011040101,2
53011040102,2
53011040201,6
53011040202,2
53011040203,4
53011040301,4
53011040302,5
53011040403,6
53011040407,4
53011040408,4
53011040409,6
53011040411,6
53011040412,7
53011040413,4
53011040414,4
53011040415,3
53011040416,3
53011040504,2
53011040505,2
53011040507,5
53011040508,6
53011040509,6
53011040510,5
53011040511,2
53011040603,4
53011040604,6
53011040605,5
53011040608,7
53011040609,6
53011040610,5
53011040703,9
53011040706,7
53011040707,7
53011040709,7
53011040710,7
53011040711,6
53011040712,6
53011040803,8
53011040805,8
53011040806,8
53011040808,7
53011040809,8
53011040810,8
53011040904,6
53011040905,6
53011040907,4
53011040908,7
53011040909,6
53011040910,7
53011041003,8
53011041005,6
53011041007,7
53011041008,7
53011041009,7
53011041010,8
53011041011,8
53011041104,8
53011041105,8
53011041107,7
53011041108,9
53011041110,9
53011041111,8
53011041112,9
53011041201,10
53011041203,10
53011041205,9
53011041206,10
53011041309,10
53011041310,10
53011041312,9
53011041313,9
53011041317,9
53011041318,10
53011041319,9
53011041320,9
53011041321,6
53011041322,10
53011041323,10
53011041325,9
53011041326,7
53011041327,7
